Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
PERFORMA MW 352 MED,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), granos y subproducots de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionína, lisina triptófano), vitaminas (A, D3, E B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, ortofosgato, cloruro de sodio, minerales traza (sufato y/u óxico de zic, sulgato de cobre, sulfato y /u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), oxido y/o carbonato y/&o sulfato de hierro carbonato y/o sulfato de cobalto y/o sulfato y/o carbonao de magnesio), antioxidante a base d BHT, TBHQ, ETQ (etoxiquin) y ácido cítrico; antifungico a base de ácidos propiónicos, benzoico, fosfórico y sórbico. ANTIMICROBIANO: Florfenico 100 ppm (5kg/ton) ó Enroflaxacina 200ppm (4kg/ton) u Oxitetraciclina 500 ppm (10Kg/ton).",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es un alimento medicado terminado balanceado para ofrecerse a camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei. ",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-001,Alimento,04-ago-14,04-ago-19
PERFORMA MW 400 + NUTRIBULL ,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio), glucuronolactona, antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 6.00 % MIN FIBRA CRUDA 5.00 % MÁX CENIZAS 13.00 % MÁX HUMEDAD 12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei. ",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-010,Alimento ,06-ago-14,06-ago-19
TOTAL RANGE 35,"Vimifos, S.A. de C.V.","Granos de cereales, subproductos cereales, pasta de oleaginosas, aceite de pescado, harina de pescado, harina de calamar, harina de pollo y pluma, aminoácido sintético (metionina), fosfato monodicálcico, carbonato de calcio, propinato de calcio, vitamina A, vitaminas del complejo B, biotina, ácido fólico, vitamina C, vitamina D3, Vitamina E, Vitamina K, cobalto, cobre, selenio, hierro, manganeso, yodo, zinc.",PROTEÍNA CRUDA 35.00 % MÍN GRASA CRUDA 7.00 % MIN                        FIBRA CRUDA 3.00 % MÁX                   CENIZAS 12.00 % MÁX                        HUMEDAD 12.00 % MÁX,Alimento para camarón del género Litopenaeus  en etapa de engorda,libre acceso ,No aplica,A-035/2014-005,Alimento ,24-sep-14,24-sep-19
SPECIAL RACEWAY 0,"Vimifos, S.A. de C.V.","Granos de cereales, pasta de oleaginosas, concentrado vegetal, proteína de orgen marino (harina de calamar, harina de pescado, harina de krill), proteína de orgen animal (harina de sangre procina-bovina y/o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicáclcico, cobalto, cobre manganeso, selenio, yodo, zinc, lecitina de soya, mananooligosacáridos y betaglucanos, propionato de clacio, pigmento",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 9.00 % MIN                        FIBRA CRUDA 3.00 % MÁX                   CENIZAS 11.00 % MÁX                        HUMEDAD 12.00 % MÁX,Alimento para maternidades o Raceway de camarón del género Litopenaeus ,libre acceso ,No aplica,A-041/2014-007,Alimento ,24-sep-14,24-sep-19
SPECIAL RACEWAY 1,"Vimifos, S.A. de C.V.","Granos de cereales, pasta de oleaginosas, concentrado vegetal, proteína de orgen marino (harina de calamar, harina de pescado, harina de krill), proteína de orgen animal (harina de sangre procina-bovina y/o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, ácido fólico, biotna, vitamina C, vitmaina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcico, cobalto, cobre manganeso, selenio, yodo, zinc, lecitina de soya, mananooligosacáridos y betaglucanos, propinato de calcio, pigmento.",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 9.00 % MIN                        FIBRA CRUDA 3.00 % MÁX                   CENIZAS 11.00 % MÁX                                 HUMEDAD 12.00 % MÁX,Alimento para maternidades de camarón del género Litopenaeus.,libre acceso ,No aplica,A-041/2014-008,Alimento ,24-sep-14,24-sep-19
SPECIAL RACEWAY E,"Vimifos, S.A. de C.V.","Granos de cereales, pasta de oleaginosas, concentrado vegetal, proteína de orgen marino (harina de calamar, harina de pescado, harina de krill), proteína de orgen animal (harina de sangre procina-bovina y/o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicáclcico, cobalto, cobre manganeso, selenio, yodo, zinc, lecitina de soya, mananooligosacáridos y betaglucanos, propionato de clacio, pigmento",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 9.00 % MIN                       FIBRA CRUDA 3.00 % MÁX                   CENIZAS 11.00 % MÁX                           HUMEDAD 12.00 % MÁX,Alimento para maternidades de camarón del género Litopenaeus.,libre acceso ,No aplica,A-041/2014-009,Alimento ,24-sep-14,24-sep-19
SPECIAL RACEWAY XT2,"Vimifos, S.A. de C.V.","Granos de cereals, pasta de oleaginosas, concentrado vegetal, proteína de orgen marino (harina de calamar, harina de pescado, harina de krill), proteína de origen animal (harina de sangre procina-bovina y(o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, Ácido fólico, bioitina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcico, cobalto, cobre manganeso, selenio, yodo, zinc, lectina de soya, mananooligosacáridos y betaglucanso, propinato de calciio, pigmento. ",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 9.00 % MIN                        FIBRA CRUDA 3.00 % MÁX                   CENIZAS 11.00 % MÁX                               HUMEDAD 12.00 % MÁX,Alimento para maternidades de camarón del género Litopenaeus.,libre acceso ,No aplica,A-041/2014-010,Alimento ,24-sep-14,24-sep-19
STRONG BREED,"Vimifos, S.A. de C.V.","Granos de cereales, pasta de oleaginosas, concentrado vegetal, proteína de orgen marino (harina de calamar, harina de pescado, harina de krill), proteína de orgen animal (harina de sangre procina-bovina y/o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicáclcico, cobalto, cobre manganeso, selenio, yodo, zinc, lecitina de soya, mananooligosacáridos y betaglucanos, propionato de clacio, pigmento",PROTEÍNA CRUDA 40.00 % MÍN GRASA CRUDA 9.00 % MIN                             FIBRA CRUDA 3.00 % MÁX                   CENIZAS 11.00 % MÁX                                  HUMEDAD 12.00 % MÁX,Alimento para reproductores de camarón del genero Litopenaeus,libre acceso ,No aplica,A-041/2014-011,Alimento ,24-sep-14,24-sep-19
Apicamarón 2 35% (Precría Migaja 2),"Malta Texo de México, S.a. de C.V. ","Trigo, maíz, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A y D estabilizadas, vitaminas E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio.",Proteína cruda mín………………35.00% Grasa cruda mÍn.…….…………...6.00%          Fibra cruda máx………………......3.00%        Humedad máx…….………………..10.00%         Cenizas máx…………………………..11.00%   ENL………………………….………….....35.00%,"Alimento balanceado para camarón en el periodo posterior al pre-criadero, en fase de iniciación",,No aplica,A-136/2014-001,Alimento ,23-oct-14,23-oct-19
Apicamarón 2 35% (Precría Migaja 3),"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A y D estabilizadas, vitaminas E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio.",Proteína cruda mín………………35.00% Grasa cruda mÍn.…….…………...6.00%          Fibra cruda máx………………......3.00%        Humedad máx…….………………..10.00%         Cenizas máx…………………………..11.00%   ENL………………………….………….....35.00%,"Alimento balanceado para camarón en el periodo posterior al pre-criadero, en fase de iniciación",,No aplica,A-136/2014-002,Alimento ,23-oct-14,23-oct-19
AQUAROM,"Gragon Global Nutritiion, S.A. de C.V. ","Hidrolizado de Crustáceos Marinos (Haliporoides diomedeae 30%, Cervimunida johni 30% y Heterocarpus reedi 40%)",Proteína min….11.00%            Cenizas max…… 8.00%           humedad max…80.00%                   fibra max………..15.00%                    grasa min………..0.02%               ,Aditivo para ser usado como saborizante y palatabilizante enla elaboraciónde alimento para la acuacultura. Camarón y peces ,del 1 al 3 % de inclusión enla dieta,No aplica ,DGSA-DSAP-CSAUA-002-(3)/2015,Aditivo ,10-nov-15,10-nov-20
ESSENCIAL MW 351 + NUTRIBULL ,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado), proteínas animales (harina de sangre de cerdo y/o res y/o plasma de porcino y/o bovino y/o harina de pluma o carne de ave y/o harina de carne de cerdo), granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptofano), vitaminas (A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc, sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/u óxido y/o carbonato de magnesio), antioxidante a base de BHT, TBHQ, ETQ (etoxiquina y ácido cítrico, antifúngico a base de ácidos propiónico, benzóico, fosfórico y sórbico.",Proteína cruda ………35.00 % mín Grasa cruda …...……...5.00 % min            Fibra cruda ...…………6.00 % máx Cenizas……………... 13.50 % máx Humedad ...………….12.00 % máx,Alimento balanceado para camarón en etapa de inicio a cremimiento ,libre acceso ,No aplica,A-053/2014-014,Alimento ,04-nov-14,04-nov-19
ESSENCIAL MW 250,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado), proteínas animales (harina de sangre de cerdo y/o res y/o plasma de porcino y/o bovino y/o harina de pluma o carne de ave y/o harina de carne de cerdo), granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano), vitaminas (A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc, sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/u óxido y/o carbonato de magnesio), antioxidante a basd de BHT, TBHQ, ETQ (etoxiquina y ácido cítrico, antifúngico a base de ácidos propiónico, benzóico, fosfórico y sórbico.",Proteína cruda ……..25.00 % mín Grasa cruda …..……...5.00 % min                            Fibra cruda………….. 6.00 % máx                           Cenizas ………….....13.50 % máx                              Humedad………….. 12.00 % máx,"Dieta diseñada para camarones de cultivo, camarón Blanco del Pacífico Litopenaeus vannamei.",libre acceso ,No aplica,A-053/2014-011,Alimento ,04-nov-14,04-nov-19
ESSENCIAL  MW 300,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/oplasma porcino bovino y/o bovino y/o harina de carne de ave y/o harina de carne de cerdo), granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano), vitaminas (A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc, sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro) óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y /o óxido y/o carbonato de magnesio), antioxidante a base de BHT, TBHQ, ETQ (etoxiquina) y ácido cítrico; antifúngico a base de ácidos propónicos, benzoico, fosfórico y sórbico.",Proteína cruda ……...30.00 % mín Grasa cruda…………...5.00 % min                    Fibra cruda…………... 6.00 % máx                     Cenizas…………….. 13.50 % máx                            Humedad ……………12.00 % máx,alimento balanceado para camarón en etapa de cremimiento ,libre acceso ,No aplica,A-053/2014-012,Alimento ,04-nov-14,04-nov-19
ESSENCIAL MW 351,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o bovino y/o bovino y/o harina de pluma o carne de ave y/o harina de carne de cerdo), granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano), vitaminas (A, D3, E, B1, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc, sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio, y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/u óxido y/o carbonato de magnesio), antioxidante a base de BHT, TBHQ, ETQ (etoxiquina) y ácido cítrico, antifúngico a base de ácidos propiónicos, benzoico, fosfórico y sórbico.",Proteína cruda ………..35.00 % mín Grasa cruda …………….5.00 % min                               Fibra cruda …………….6.00 % máx                                     Cenizas ……………….13.50 % máx                                     Humedad ……………..12.00 % máx,Alimento balanceado para camarón en etapa de inicio a cremimiento ,libre acceso ,No aplica,A-053/2014-013,Alimento ,04-nov-14,04-nov-19
